0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
101000000013086,AIA ENGINEERING LIMITED,0,1,0.5,INE212H01026,0915-1530|1815-1915:,2026-07-30,,NSE:AIAENG-EQ,10,10,13086,AIAENG,13086,-1.0,XX,101000000013086,,1,3.4
101000000023553,AUTHUM INVEST & INFRA LTD,0,1,0.05,INE206F01022,0915-1530|1815-1915:,2026-07-30,,NSE:AIIL-EQ,10,10,23553,AIIL,23553,-1.0,XX,101000000023553,,1,2.5
10100000004654,ABHISHEK INTEGRATIONS LTD,0,1500,0.05,INE0CAJ01017,0915-1530|1815-1915:,2026-07-30,,NSE:AILIMITED-ST,10,10,4654,AILIMITED,4654,-1.0,XX,10100000004654,,0,0.0
101000000023984,AIMTRON ELECTRONICS LTD,0,200,0.05,INE0RUV01018,0915-1530|1815-1915:,2026-07-30,,NSE:AIMTRON-SM,10,10,23984,AIMTRON,23984,-1.0,XX,101000000023984,,0,0.0
10100000009897,AIRAN LIMITED,0,1,0.01,INE645W01026,0915-1530|1815-1915:,2026-07-30,,NSE:AIRAN-EQ,10,10,9897,AIRAN,9897,-1.0,XX,10100000009897,,0,0.0
10100000006068,AIRO LAM LIMITED,0,1,0.01,INE801L01010,0915-1530|1815-1915:,2026-07-30,,NSE:AIROLAM-EQ,10,10,6068,AIROLAM,6068,-1.0,XX,10100000006068,,0,0.0
1010000000482,ANI INTEGRATED SERV LTD.,0,600,0.05,INE635Y01015,0915-1530|1815-1915:,2026-07-30,,NSE:AISL-SM,10,10,482,AISL,482,-1.0,XX,1010000000482,,0,0.0
10100000008124,AJANTA PHARMA LIMITED,0,1,0.1,INE031B01049,0915-1530|1815-1915:,2026-07-30,,NSE:AJANTPHARM-EQ,10,10,8124,AJANTPHARM,8124,-1.0,XX,10100000008124,,1,3.3
101000000029624,AJAX ENGINEERING LIMITED,0,1,0.05,INE274Y01021,0915-1530|1815-1915:,2026-07-30,,NSE:AJAXENGG-EQ,10,10,29624,AJAXENGG,29624,-1.0,XX,101000000029624,,1,2.0
101000000017307,AJMERA REALTY & INF I LTD,0,1,0.01,INE298G01035,0915-1530|1815-1915:,2026-07-30,,NSE:AJMERA-EQ,10,10,17307,AJMERA,17307,-1.0,XX,101000000017307,,1,2.6
10100000003403,AJOONI BIOTECH LIMITED,0,1,0.01,INE820Y01021,0915-1530|1815-1915:,2026-07-30,,NSE:AJOONI-EQ,10,10,3403,AJOONI,3403,-1.0,XX,10100000003403,,0,0.0
101000000021132,AKANKSHA POWER N INFRA L,0,1000,0.05,INE0PCY01014,0915-1530|1815-1915:,2026-07-30,,NSE:AKANKSHA-ST,10,10,21132,AKANKSHA,21132,-1.0,XX,101000000021132,,0,0.0
101000000013510,AKASH INFRA-PROJECTS LTD,0,1,0.01,INE737W01013,0915-1530|1815-1915:,2026-07-30,,NSE:AKASH-EQ,10,10,13510,AKASH,13510,-1.0,XX,101000000013510,,0,0.0
